acc       	epoch     	loss      	LR        	
0.8357	1	0.007048	0.00025	
0.8514	2	0.006668	0.00025	
0.8591	3	0.006501	0.00025	
0.8648	4	0.006348	0.00025	
0.8681	5	0.006203	0.00025	
0.8711	6	0.006044	0.00025	
0.8748	7	0.005914	0.00025	
0.8778	8	0.005825	0.00025	
0.8804	9	0.005755	0.00025	
0.8826	10	0.005687	0.00025	
0.8843	11	0.005637	0.00025	
0.8864	12	0.005576	0.00025	
0.8876	13	0.005535	0.00025	
0.8896	14	0.005482	0.00025	
0.8904	15	0.005452	0.00025	
0.8913	16	0.005424	0.00025	
0.8958	17	0.005309	0.00025	
0.8976	18	0.005269	0.00025	
0.8985	19	0.005244	0.00025	
0.8973	20	0.005260	0.00025	
0.8977	21	0.005251	0.00025	
