acc       	epoch     	loss      	LR        	
0.0880	1	0.003583	1e-05	
0.2679	2	0.002812	0.00025	
0.2824	2	0.002807	0.00025	
0.3432	3	0.002664	0.00025	
0.3701	4	0.002617	0.00025	
0.3885	5	0.002578	0.00025	
0.4062	6	0.002551	0.00025	
0.4220	7	0.002510	0.00025	
0.4339	8	0.002489	0.00025	
0.4450	9	0.002463	0.00025	
0.4545	10	0.002442	0.00025	
0.4636	11	0.002420	0.00025	
0.4701	12	0.002397	0.00025	
0.4818	13	0.002376	0.00025	
0.4858	14	0.002361	0.00025	
0.4914	15	0.002350	0.00025	
0.5026	16	0.002334	0.00025	
0.5011	17	0.002317	0.00025	
0.5073	18	0.002304	0.00025	
0.5133	19	0.002295	0.00025	
0.5196	20	0.002279	0.00025	
0.5298	21	0.002269	0.00025	
