acc       	epoch     	loss      	LR        	
0.5546	1	0.011615	5e-05	
0.6573	2	0.010138	5e-05	
0.7134	3	0.009692	5e-05	
0.7558	4	0.009222	5e-05	
0.7777	5	0.008906	5e-05	
0.8011	6	0.008590	5e-05	
0.8127	7	0.008374	5e-05	
0.8231	8	0.008179	5e-05	
0.8319	9	0.008048	5e-05	
0.8394	10	0.007878	5e-05	
0.8464	11	0.007731	5e-05	
0.8521	12	0.007640	5e-05	
0.8559	13	0.007495	5e-05	
0.8633	14	0.007382	5e-05	
0.8711	15	0.007236	5e-05	
0.8698	16	0.007196	5e-05	
0.8725	17	0.007091	5e-05	
0.8771	18	0.007010	5e-05	
0.8807	19	0.006913	5e-05	
0.8837	20	0.006814	5e-05	
0.8877	21	0.006700	1e-05	
0.8924	22	0.006613	1e-05	
